"title","speaker","lines"
"Alexander Hamilton","BURR","How does a bastard, orphan, son of a whore and a"
"Alexander Hamilton","BURR","Scotsman, dropped in the middle of a forgotten"
"Alexander Hamilton","BURR","Spot in the Caribbean by providence, impoverished, in squalor"
"Alexander Hamilton","BURR","Grow up to be a hero and a scholar?"
"Alexander Hamilton","LAURENS","The ten-dollar Founding Father without a father"
"Alexander Hamilton","LAURENS","Got a lot farther by working a lot harder"
"Alexander Hamilton","LAURENS","By being a lot smarter"
"Alexander Hamilton","LAURENS","By being a self-starter"
"Alexander Hamilton","LAURENS","By fourteen, they placed him in charge of a trading charter"
"Alexander Hamilton","JEFFERSON","And every day while slaves were being slaughtered and carted"
"Alexander Hamilton","JEFFERSON","Away across the waves, he struggled and kept his guard up"
"Alexander Hamilton","JEFFERSON","Inside, he was longing for something to be a part of"
"Alexander Hamilton","JEFFERSON","The brother was ready to beg, steal, borrow, or barter"
"Alexander Hamilton","MADISON","Then a hurricane came, and devastation reigned"
"Alexander Hamilton","MADISON","Our man saw his future drip, dripping down the drain"
"Alexander Hamilton","MADISON","Put a pencil to his temple, connected it to his brain"
"Alexander Hamilton","MADISON","And he wrote his first refrain, a testament to his pain"
"Alexander Hamilton","BURR","Well, the word got around, they said,"
"Alexander Hamilton","BURR","""This kid is insane, man"""
"Alexander Hamilton","BURR","Took up a collection just to send him to the mainland"
"Alexander Hamilton","BURR","""Get your education, don't forget from whence you came, and"
"Alexander Hamilton","BURR","The world's gonna know your name. What's your name, man?"""
"Alexander Hamilton","HAMILTON","Alexander Hamilton"
"Alexander Hamilton","HAMILTON","My name is Alexander Hamilton"
"Alexander Hamilton","HAMILTON","And there's a million things I haven't done"
"Alexander Hamilton","HAMILTON","But just you wait, just you wait..."
